分类,公司,上班时间(原文),公司_规范,下班时间(原文),公司_集团,公司评分,评分等级,部门,部门_规范,岗位,岗位_规范,base地,城市,上班时间(标准),下班时间(标准),工作时长_小时,一周工作天数,工作天数(数字),午饭时间,晚饭时间,周三是否特殊,周五是否特殊,新人是否日报/周报,行业,行业细分,补齐标记,备注,35岁比例,福利,外资,来源
互联网,腾讯,10.-10.30,腾讯,可以18.吃晚饭就走，一般20.走,腾讯,79.1,良好,在线视频bu-微视,在线视频bu-微视,前端,前端开发,深圳,深圳,10:00,18:00,8,5,5,11:00,17:00,晚上活动,晚上可以早点,周报,,未填写,,适合养老,,,否,总表
互联网,腾讯,10,腾讯,44449,腾讯,79.1,良好,在线视频-平台技术部,技术/研发,后台开发,后端开发,深圳,深圳,10:00,,,5,5,12:00,18:00,否,否,新人周报,,未填写,,,,,否,总表
互联网,腾讯,10,腾讯,7,腾讯,79.1,良好,,未填写,运营,运营,深圳,深圳,10:00,19:00,9,5,5,14:00,未填写,是,是,周报,,未填写,,氛围好,,,否,总表
互联网,腾讯音乐,10.30前,腾讯,9,腾讯,79.1,良好,国际业务部 K歌,国际业务部 K歌,后台开发,后端开发,深圳,深圳,10:00,21:00,11,5,5,12:00,13:00,否,6点下班,周报,,未填写,,Leader很好，能力强，氛围不错，周二部门组织篮球，周四羽毛球，七点多可以去,,,否,总表
互联网,腾讯音乐,09:50:00,腾讯,9.30-10.30，基本10点,腾讯,79.1,良好,全民k歌,全民k歌,后端,后端开发,深圳,深圳,09:50,21:00,11.2,5,5,14:00,18:00,未填写,没事可以早走,每周周报(具体看组),,未填写,,同事都不错，但是事多，现在暂时无夜宵卷改每天50餐补,,,否,总表
互联网,腾讯音乐,10:00:00,腾讯,正式22:00实习20:00,腾讯,79.1,良好,社区产品部,产品,前端,前端开发,深圳,深圳,10:00,22:00,12,5,5,12:00,18:00,是,没事可以早走,需要写日报并发给全组人看,,未填写,,氛围好，导师nice，主要做业务，挺有意思的，搬到科兴没饭票改补贴了,,,否,总表
互联网,腾讯音乐,10:30:00,腾讯,8-11随意,腾讯,79.1,良好,数据科学中心,数据,数分,数据分析,深圳,深圳,10:30,20:00,9.5,5,5,12:00,18:00,否,不加班,实习期要写，不过也看情况,,未填写,,氛围好，领导nice,,,否,总表
互联网,腾讯音乐,10:00-10:25,腾讯,9.30-10.30,腾讯,79.1,良好,tme某部门,未披露,产品,产品经理,深圳,深圳,10:00,21:00,11,44322,5,12:00,18:00,否,6:00一般人光光,正式写,,未填写,工作天数,卷王/卷怪除外) ld要求很高，pua劝退，边缘劝退，组内氛围奇怪，谁来谁知道，快逃,,,否,总表
互联网,腾讯音乐,10:00-10:15,腾讯,20:00-21:30,腾讯,79.1,良好,TME平台架构,平台/中台,数据,数据,深圳,深圳,10:00,20:00,10,5,5,12:00,不固定,是,有事可以早走,转正后需要写周报,,未填写,,氛围不错，但技术不行，管理比较混乱,,,否,总表
互联网,同程,9-9.30,同程,实习6正式工7,同程,92.4,舒适,数科,数科,后端,后端开发,上海,上海,09:00,18:00,9,5,5,12:00,无，跑路了,否,6走人,非常简短的周报,,未填写,,,,,否,总表
