公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
中国邮政,中国邮政,金融,8,4,4,北京、新余、广州、合肥,08:23,17:54,9.5,85.7,舒适,3
中国石油,中国石油,其他,8,7,4,深圳、北京、西安、上海,08:22,16:37,8.2,97.7,舒适,7
广联达,广联达,互联网,8,3,2,北京、济南,08:39,13:22,9.4,88.8,舒适,1
蓝飞,蓝飞,互联网,8,1,1,青岛,09:00,18:30,9.5,87.0,舒适,0
旷视,旷视,互联网,8,3,2,北京、上海,10:18,18:41,8.4,94.5,舒适,3
中国银行,中国银行,互联网,8,1,6,上海、北京、西安、苏州、深圳、南宁,08:22,17:37,9.2,87.6,舒适,4
贝壳找房,贝壳找房,互联网,8,1,3,北京、武汉、广州,09:54,19:18,9.4,83.8,良好,2
招商银行,招商银行,金融,8,6,5,上海、成都、杭州、深圳、昆明,08:27,18:22,11.3,64.4,一般,6
shopee,shopee,互联网,7,1,1,深圳,09:52,19:34,9.7,80.6,良好,3
国企,国企,其他,7,1,6,成都、北京、广州、西安、潮州、昆明,08:30,18:12,9.7,83.0,良好,1
十方教育,十方教育,互联网,7,1,1,深圳,09:04,18:55,9.9,79.6,良好,5
贝壳,贝壳,互联网,7,1,4,广州、北京、成都、长沙,09:45,19:00,9.2,86.4,舒适,1
吉比特,吉比特,互联网,7,1,1,深圳,09:08,20:17,11.1,58.7,一般,7
喜马拉雅,喜马拉雅,互联网,7,1,1,上海,09:25,19:38,10.2,72.5,良好,2
猿辅导,猿辅导,互联网,7,1,2,北京、武汉,10:38,19:51,9.2,82.3,良好,4
地平线,地平线,互联网,7,1,3,北京、杭州、上海,10:00,20:00,10.0,73.3,良好,4
尚德机构,尚德机构,互联网,7,1,3,北京、武汉、广州,09:58,20:15,10.3,71.2,良好,5
微盟,微盟,互联网,7,1,1,上海,09:38,19:08,9.5,86.8,舒适,2
新东方,新东方,其他,7,1,4,武汉、北京、长沙、杭州,10:25,19:38,9.2,81.5,良好,4
TCL,TCL,互联网,7,2,2,深圳、惠州,09:21,16:42,10.3,78.6,良好,2
乐信,乐信,互联网,7,1,1,深圳,10:00,19:38,9.6,77.1,良好,6
招银网络科技,招银网络科技,互联网,7,1,3,深圳、成都、杭州,08:25,16:30,11.3,69.8,一般,5
广州探迹科技,广州探迹科技,互联网,7,2,1,广州,09:00,19:42,10.7,66.1,一般,4
万科,万科,其他,7,3,5,深圳、西安、宁波、北京,09:00,18:12,10.8,70.2,良好,3
思科,思科,互联网,7,3,4,杭州、广州、上海、乐天云谷,09:10,17:45,8.6,93.8,舒适,5
谷歌,谷歌,互联网,6,2,3,北京、一线、深圳,09:55,17:15,7.3,100.0,舒适,3
鹰角网络,鹰角网络,互联网,6,1,1,上海,10:25,19:30,9.1,86.4,舒适,3
牧原集团,牧原集团,互联网,6,3,2,南阳、柳州,08:10,16:10,8.0,87.4,舒适,5
万兴科技,万兴科技,互联网,6,1,2,深圳、长沙,09:00,19:13,12.3,56.7,一般,2
PingCAP,PingCAP,互联网,6,1,2,北京、杭州,09:50,19:30,9.7,83.8,良好,6
德勤,德勤,外企,6,1,3,广州、上海、北京,09:13,19:40,10.5,71.3,良好,2
蔚来,蔚来,互联网,6,1,2,上海、北京,09:30,21:05,11.6,51.6,偏卷,1
英特尔,英特尔,互联网,6,1,2,上海、成都,08:55,16:58,8.0,100.0,舒适,5
oppo,oppo,互联网,6,1,3,成都、深圳、台北,09:03,19:50,10.8,66.0,一般,3
网易有道,网易,互联网,6,1,3,杭州、北京、广州,09:45,18:30,8.8,93.0,舒适,4
树根互联,树根互联,互联网,6,2,2,广州、苏州,09:20,17:55,10.3,75.9,良好,5
国泰君安,国泰君安,金融,6,4,2,上海、北京,09:00,18:20,9.3,77.9,良好,2
哈啰出行,哈啰出行,互联网,6,1,1,上海,09:52,20:20,10.5,68.0,一般,0
浪潮软件,浪潮软件,互联网,6,4,1,济南,08:25,18:45,10.3,71.0,良好,1
三一重工,三一重工,其他,6,2,2,长沙、邵阳,08:00,15:05,7.1,96.8,舒适,2
